were_here_count,can_checkin,rating_count,fan_count,overall_star_rating,talking_about_count,checkins,name,category,location,id
4416,TRUE,108,3552,4.7,83,4416,Guildhall Art Gallery and London's Roman Amphitheatre,Art Gallery,"{'city': 'London', 'country': 'United Kingdom', 'latitude': 51.515609041332, 'longitude': -0.092020675799393, 'street': 'Guildhall Yard', 'zip': 'EC2V 5AE'}",186605081410768
888,TRUE,31,499,4.9,9,888,Guildhall Museum Rochester,History Museum,"{'city': 'Rochester', 'country': 'United Kingdom', 'latitude': 51.3908773, 'longitude': 0.5029138, 'street': '17 High Street', 'zip': 'ME1 1PY'}",617577291692106
2,TRUE,0,5,0,0,2,Guisborough Museum,Museum,"{'city': 'Guisborough', 'country': 'United Kingdom', 'latitude': 54.535503, 'longitude': -1.053999, 'street': '1 Westgate Rd', 'zip': 'TS14 6EA'}",122566551476003
126494,TRUE,2417,61463,4.5,2096,126494,Hirshhorn Museum and Sculpture Garden,Modern Art Museum,"{'city': 'Washington', 'country': 'United States', 'latitude': 38.888327642535, 'longitude': -77.022915584388, 'state': 'DC', 'street': 'Independence Avenue at Seventh Street, SW', 'zip': '20024'}",12656504609
1,TRUE,164,29318,4.9,6340,1,Hands on History,Arts & Entertainment,"{'city': 'Trondheim', 'country': 'Norway', 'latitude': 64.168106897992, 'longitude': 9.84375}",1027390320690600
88,TRUE,15,138,5,3,88,Harrington Aviation Museum,History Museum,"{'city': 'Northampton', 'country': 'United Kingdom', 'latitude': 52.40313890484, 'longitude': -0.87291955947876, 'street': 'Sunnyvale Farm, Harrington', 'zip': 'NN6 9PF'}",168699139913695
66,TRUE,0,6,0,0,66,"Old Speech Room Gallery, Harrow School",Art Gallery,"{'city': 'Harrow', 'country': 'United Kingdom', 'latitude': 51.573103, 'longitude': -0.333792}",114564098556569
907,TRUE,39,1668,4.8,210,907,HBC Hastings Museum & Art Gallery,Museum/Art Gallery,"{'city': 'Hastings', 'country': 'United Kingdom', 'latitude': 50.85621889614, 'longitude': 0.57110806418338, 'street': 'Johns Place, Bohemia Road', 'zip': 'TN34 1ET'}",218155741717952
357,TRUE,11,2263,4.9,116,357,Hatton Gallery,Art Gallery,"{'city': 'Newcastle upon Tyne', 'country': 'United Kingdom', 'latitude': 54.979669953961, 'longitude': -1.6146932623367, 'street': 'Kings Road, Newcastle University', 'zip': 'NE1 7RU'}",19694442857
55,TRUE,5,403,4.4,1,55,Havering Museum,History Museum,"{'city': 'Romford', 'country': 'United Kingdom', 'latitude': 51.5777021, 'longitude': 0.1792287, 'street': '19-21 High Street', 'zip': 'RM1 1JU'}",198760810165730
1208,TRUE,28,458,4.7,0,1208,Haworth Art Gallery,Landmark & Historical Place,"{'city': 'Accrington', 'country': 'United Kingdom', 'latitude': 53.7411, 'longitude': -2.355, 'zip': 'BB5 2JS'}",131118580270919
17331,TRUE,274,2450,4.7,0,17331,Haynes International Motor Museum,"Automotive, Aircraft & Boat","{'latitude': 51.0355, 'longitude': -2.5655}",112613492086178
2361,TRUE,73,2697,4.7,103,2361,Head of Steam - Darlington Railway Museum,History Museum,"{'city': 'Darlington', 'country': 'United Kingdom', 'latitude': 54.535806866008, 'longitude': -1.5547712015406, 'street': 'North Road Station', 'zip': 'DL3 6ST'}",366211976788533
1014,TRUE,76,1367,5,88,1014,Helena Thompson Museum,History Museum,"{'city': 'Workington', 'country': 'United Kingdom', 'latitude': 54.642325280591, 'longitude': -3.5375561998278, 'street': 'Park End Road', 'zip': 'CA14 4DE'}",118786358209954
7,TRUE,1,1,5,0,7,Henfield Museum,History Museum,"{'city': 'Henfield', 'country': 'United Kingdom', 'latitude': 50.92986763, 'longitude': -0.27227238, 'zip': 'BN5 9'}",224713891057422
0,TRUE,2,26,4,4,43,The Henry VII Experience at Micklegate Bar,History Museum,"{'city': 'York', 'country': 'United Kingdom', 'latitude': 53.955921395202, 'longitude': -1.090886592865, 'street': 'Micklegate Bar', 'zip': 'YO1 6JX'}",109302062992603
148,TRUE,1,12,5,0,148,Heptonstall Festival,Museum,"{'city': 'Hebden Bridge', 'country': 'United Kingdom', 'latitude': 53.74915801925, 'longitude': -2.0218168851007, 'zip': 'HX7 7'}",407971375906728
99,TRUE,10,931,5,248,99,Herefordshire Light Infantry Museum,History Museum,"{'city': 'Hereford', 'country': 'United Kingdom', 'latitude': 52.051127183768, 'longitude': -2.7062198841059, 'street': 'Suvla Barracks, TA Centre, Harold Street,', 'zip': 'HR1 2QX'}",431399460230235
7,TRUE,1,1,5,0,7,Holsworthy Museum,Museum,"{'city': 'Holsworthy', 'country': 'United Kingdom', 'latitude': 50.895095135767, 'longitude': -4.4472535729603, 'zip': 'EX22 6'}",1478242635737620
72242,TRUE,1481,22323,4.5,753,72242,Horniman Museum and Gardens,Public Garden,"{'city': 'London', 'country': 'United Kingdom', 'latitude': 51.441286120113, 'longitude': -0.0614305826426, 'street': '100 London Road', 'zip': 'SE23 3PQ'}",26314419774
4627,TRUE,181,3140,4.5,65,4627,The Household Cavalry Museum and Shop,History Museum,"{'city': 'London', 'country': 'United Kingdom', 'latitude': 51.50485029819, 'longitude': -0.12716579312941, 'street': 'Horse Guards, Whitehall, London SW1A 2AX', 'zip': 'SW1A 2AX'}",173213709522613
1827,TRUE,26,178,4.3,0,1827,Hove Museum & Art Gallery,Art Museum,"{'city': 'Hove', 'country': 'United Kingdom', 'latitude': 50.82957871869, 'longitude': -0.1811295241276, 'street': '19 New Church Road', 'zip': 'BN3 4AB'}",154287247933065
0,TRUE,2,536,5,2,0,Huddersfield Astronomical Society,Community Organization,,305204446349477
7855,TRUE,152,679,4.6,0,7855,Streetlife Museum of Transport,Tour Agency,"{'city': 'Kingston upon Hull', 'country': 'United Kingdom', 'latitude': 53.7439, 'longitude': -0.329722, 'street': '36 High Street'}",108642292494400
162886,TRUE,5846,63190,4.6,1547,162886,Imperial War Museum London,History Museum,"{'city': 'London', 'country': 'United Kingdom', 'latitude': 51.49641341168, 'longitude': -0.10865433897606, 'street': 'Lambeth Road', 'zip': 'SE1 6'}",97951440478
56431,TRUE,1796,12346,4.4,213,56431,Imperial War Museum North,History Museum,"{'city': 'Manchester', 'country': 'United Kingdom', 'latitude': 53.469800459808, 'longitude': -2.2991150232056, 'street': 'The Quays, Trafford Wharf Rd', 'zip': 'M17 1TZ'}",17530253947
6638,TRUE,339,6016,4.5,270,6638,International Slavery Museum,Museum,"{'city': 'Liverpool', 'country': 'United Kingdom', 'latitude': 53.401001036594, 'longitude': -2.9928384668982, 'street': 'Albert Dock', 'zip': 'L3 4AQ'}",317641006820
1819,TRUE,84,2037,4.8,9,1819,Ipswich Transport Museum,History Museum,"{'city': 'Ipswich', 'country': 'United Kingdom', 'latitude': 52.04064039956, 'longitude': 1.1961473159979, 'street': 'Cobham Road', 'zip': 'IP3 9JD'}",229532037208643
15,TRUE,0,3,0,0,15,Isles of Scilly Museum,History Museum,"{'city': 'Hugh Town', 'country': 'United Kingdom', 'latitude': 49.91460849, 'longitude': -6.31297399, 'street': 'Church St', 'zip': 'TR21 0JT'}",1474026559482660
701,TRUE,55,500,4.2,2,701,Jewry Wall,Landmark & Historical Place,"{'city': 'Leicester', 'country': 'United Kingdom', 'latitude': 52.634990256994, 'longitude': -1.1412477493286, 'street': '156-160 St. Nicholas Circle', 'zip': 'LE1 4LB'}",150117611687567
78,TRUE,7,115,5,2,78,John Jarrold Printing Museum,Printing Service,"{'city': 'Norwich', 'country': 'United Kingdom', 'latitude': 52.634445273333, 'longitude': 1.30002523, 'street': 'Whitefriars', 'zip': 'NR3 1SH'}",379418922220292
1058,TRUE,52,1522,4.8,53,1058,Kelmscott Manor,Art Museum,"{'city': 'Lechlade', 'country': 'United Kingdom', 'latitude': 51.687935520632, 'longitude': -1.6370916366577, 'zip': 'GL7 3HJ'}",456629727781191
544,TRUE,7,132,4.4,0,544,Kempton Park Steam Engines,Landmark & Historical Place,"{'latitude': 51.4259, 'longitude': -0.405, 'zip': 'TW13 6'}",137907836231267
487,TRUE,49,900,4.3,4,487,Kendal Museum,History Museum,"{'city': 'Kendal', 'country': 'United Kingdom', 'latitude': 54.33152529164, 'longitude': -2.741737279506, 'street': 'Station Road', 'zip': 'LA9 6BT'}",284538274636
45,TRUE,0,3,0,0,45,Kirkstall Abbey Museum,Museum,"{'city': 'Leeds', 'country': 'United Kingdom', 'latitude': 53.8083746, 'longitude': -1.5835886}",572623742945074
0,TRUE,0,6043,0,1169,0,Lady Lever Art Gallery,Landmark & Historical Place,"{'city': 'Port Sunlight', 'country': 'United Kingdom', 'street': 'Lady Lever Art Gallery', 'zip': 'CH62 5EQ'}",149986240934
1878,TRUE,129,7503,4.3,248,1878,Laing Art Gallery,Art Gallery,"{'city': 'Newcastle upon Tyne', 'country': 'United Kingdom', 'latitude': 54.974819746249, 'longitude': -1.6093360020317, 'street': 'Laing Art Gallery, New Bridge Street', 'zip': 'NE1 8AG'}",22747990912
5766,TRUE,138,623,4.6,0,5766,Lakeland Motor Museum,History Museum,"{'city': 'Ulverston', 'country': 'United Kingdom', 'latitude': 54.2589, 'longitude': -2.98913, 'zip': 'LA12 8'}",103232316397678
4281,TRUE,131,2840,4.7,104,4281,Leeds City Museum,History Museum,"{'city': 'Leeds', 'country': 'United Kingdom', 'latitude': 53.80219688261, 'longitude': -1.547269821167, 'street': 'Cookridge Street', 'zip': 'LS2 8BH'}",1093868187345850
148,TRUE,22,3375,4.5,597,148,The Craft Centre and Design Gallery,Art Gallery,"{'city': 'Leeds', 'country': 'United Kingdom', 'latitude': 53.79975608489, 'longitude': -1.5484179481063, 'street': 'The Headrow', 'zip': 'LS1 3AB'}",141472519202659
175,TRUE,12,1522,4.7,22,175,Leeds Discovery Centre,Museum,"{'city': 'Leeds', 'country': 'United Kingdom', 'latitude': 53.788584560292, 'longitude': -1.5308117866516, 'street': 'Carlisle Road', 'zip': 'LS10 1LB'}",722625624444070
1793,TRUE,63,2207,4.8,57,1793,Leeds Industrial Museum at Armley Mills,History Museum,"{'city': 'Leeds', 'country': 'United Kingdom', 'latitude': 53.802743317699, 'longitude': -1.5827700159304, 'street': 'Canal Road', 'zip': 'LS12 2QF'}",464455450232979
26817,TRUE,391,4535,4.7,0,26817,"Freemasons' Hall, London",Landmark & Historical Place,"{'city': 'City of Westminster', 'country': 'United Kingdom', 'latitude': 51.5151, 'longitude': -0.121, 'street': '60 Great Queen Street', 'zip': 'WC2B 5BZ'}",140528709306606
0,TRUE,0,391,0,0,1749,Lion Salt Works,Civilization Museum,"{'city': 'Northwich', 'country': 'United Kingdom', 'latitude': 53.2753, 'longitude': -2.4952}",110621202321420
192,TRUE,22,787,4.6,48,192,Littlehampton Museum,History Museum,"{'city': 'Littlehampton', 'country': 'United Kingdom', 'latitude': 50.809308710561, 'longitude': -0.5395704663331, 'street': 'Manor House, Church Street', 'zip': 'BN17 5EW'}",467057646641676
6804,TRUE,195,967,4.4,0,6804,National Railway Museum Shildon,Tour Agency,"{'city': 'Shildon', 'country': 'United Kingdom', 'latitude': 54.6243, 'longitude': -1.6306}",111827312167259
76531,TRUE,2769,51127,4.5,813,76531,London Transport Museum,History Museum,"{'city': 'London', 'country': 'United Kingdom', 'latitude': 51.512005959063, 'longitude': -0.12144829981624, 'street': 'Covent Garden Piazza', 'zip': 'WC2E 8'}",31304634352
43038,TRUE,553,18622,4.4,3360,43038,Lotherton,Park,"{'city': 'Leeds', 'country': 'United Kingdom', 'latitude': 53.82499, 'longitude': -1.33241, 'street': 'Lotherton Hall, Collier Lane, Aberford', 'zip': 'LS25 3EB'}",142044545839123
53,TRUE,9,677,4.7,21,53,Louth Museum,History Museum,"{'city': 'Louth', 'country': 'United Kingdom', 'latitude': 53.3680902, 'longitude': -0.005249, 'street': '4 Broadbank', 'zip': 'LN11 0EQ'}",463899553697940
0,TRUE,0,195,0,12,0,Lowestoft Museum,Museum,"{'city': 'Oulton', 'country': 'United Kingdom', 'latitude': 54.572061655659, 'longitude': -0.703125, 'street': 'Nicholas Everitt Park, Bridge Road, Oulton Broad, SuffolkLowestoft Museum collects, preserves and displays objects relating to the history of the area and its people, and promotes awareness and interest in our rich heritage', 'zip': 'NR33 9JR'}",273818472706227
69,TRUE,0,30,0,0,69,Malvern Museum,History Museum,"{'latitude': 52.1105, 'longitude': -2.32952, 'zip': 'WR14 3ES'}",112859942060809
20987,TRUE,1279,10338,4.4,53,20987,Manchester Museum,History Museum,"{'city': 'Manchester', 'country': 'United Kingdom', 'latitude': 53.466247493814, 'longitude': -2.2338723804035, 'street': 'Manchester Museum, The University of Manchester, Oxford Road', 'zip': 'M13 9PL'}",13486341403
0,TRUE,18,1731,4.5,47,0,Mansfield Museum,Product/Service,,103888844853
0,TRUE,18,1731,4.5,47,0,Mansfield Museum,Product/Service,,103888844853
0,TRUE,0,211,0,0,0,Marlow Museum,Community,,374435506057870
8,TRUE,0,4,0,0,8,Maryport Maritime Museum,Museum,"{'city': 'Maryport', 'country': 'United Kingdom', 'latitude': 54.71469, 'longitude': -3.50078, 'zip': 'CA15 6AB'}",1043748009017510
180,TRUE,27,680,4.4,24,180,"Melton Carnegie Museum, Melton Mowbray, Leicestershire, UK",Museum,"{'city': 'Melton Mowbray', 'country': 'United Kingdom', 'latitude': 52.764741210862, 'longitude': -0.88112518783569, 'street': 'Thorpe End', 'zip': 'LE13 1RB'}",69889019295
18,TRUE,49,26691,4.7,552,18,The Mercian Regiment,Government Organization,"{'city': 'Whittington', 'country': 'United Kingdom', 'latitude': 51.8866196, 'longitude': -1.98009, 'zip': 'WS149TJ'}",330105240407899
22,TRUE,1,316,1,7,22,Mersea Island Museum,History Museum,"{'city': 'West Mersea', 'country': 'United Kingdom', 'latitude': 51.775172076667, 'longitude': 0.91190288, 'street': 'High Street', 'zip': 'CO5 8QD'}",956144431064303
20615,TRUE,885,7654,4.5,609,20615,Merseyside Maritime Museum,History Museum,"{'city': 'Liverpool', 'country': 'United Kingdom', 'latitude': 53.400983370914, 'longitude': -2.9927289858698, 'street': 'Albert Dock, Liverpool Waterfront', 'zip': 'L3 4AQ'}",159559478676
1498,TRUE,100,2418,4.5,31,1498,Milton Keynes Museum,History Museum,"{'city': 'Milton Keynes', 'country': 'United Kingdom', 'latitude': 52.0558368509, 'longitude': -0.80507185236251, 'street': 'McConnell Drive', 'zip': 'MK12 5EL'}",101231029955872
4,TRUE,3,44,5,1,4,Minster Gatehouse Museum,Museum,"{'city': 'Minster', 'country': 'United Kingdom', 'latitude': 51.4224699, 'longitude': 0.81042, 'street': 'Union Rd', 'zip': 'ME122HW'}",1852968801592370
745,TRUE,14,137,4.4,0,745,Monkwearmouth Station Museum,History Museum,"{'city': 'Sunderland', 'country': 'United Kingdom', 'latitude': 54.913, 'longitude': -1.385, 'zip': 'SR5 1'}",138260552869573
0,TRUE,0,112,0,0,4,"Museum of Archaeology, Durham University",Community College,"{'city': 'Durham', 'country': 'United Kingdom', 'latitude': 54.77487, 'longitude': -1.576, 'street': 'Archaeology Museum, Palace Green Library, Palace Green', 'zip': 'DH1 3RN'}",519648374890915
3188,TRUE,232,8599,4.5,83,3188,Museum of Archaeology & Anthropology,History Museum,"{'city': 'Cambridge', 'country': 'United Kingdom', 'latitude': 52.202829356767, 'longitude': 0.12118160529233, 'street': 'University of Cambridge, Downing Street', 'zip': 'CB2 3DZ'}",55206044444
783,TRUE,72,1631,4.1,19,783,The Museum of Barnstaple & North Devon,Museum,"{'city': 'Barnstaple', 'country': 'United Kingdom', 'latitude': 51.077971620887, 'longitude': -4.0587041873717, 'street': 'The Square', 'zip': 'EX32 8LN'}",117495058310279
47808,TRUE,1103,19487,4.4,256,47808,V&A Museum of Childhood,History Museum,"{'city': 'London', 'country': 'United Kingdom', 'latitude': 51.529048371529, 'longitude': -0.05504867071189, 'street': 'Cambridge Heath Road', 'zip': 'E2 9PA'}",67723470911
0,TRUE,0,267,0,5,0,Museum of Lakeland Life & Industry,Landmark & Historical Place,"{'city': 'Kendal', 'country': 'United Kingdom', 'street': 'Kirkland', 'zip': 'LA9 5AL'}",455990094434408
25802,TRUE,897,1890,4.4,0,25802,Museum of Liverpool,History Museum,"{'city': 'Liverpool', 'country': 'United Kingdom', 'latitude': 53.4031, 'longitude': -2.9956}",140933252599105
114458,TRUE,5285,137810,4.5,2210,114458,Museum of London,History Museum,"{'city': 'London', 'country': 'United Kingdom', 'latitude': 51.5176712, 'longitude': -0.0961733, 'street': '150 London Wall', 'zip': 'EC2Y 5'}",27560776046
16007,TRUE,281,1866,4.5,0,16007,Museum of London Docklands,History Museum,"{'city': 'London', 'country': 'United Kingdom', 'latitude': 51.5075, 'longitude': -0.023611111111111, 'zip': 'E14 4'}",108489909175466
106341,TRUE,2613,37588,4.5,667,106341,Museum of Science and Industry,Museum,"{'city': 'Manchester', 'country': 'United Kingdom', 'latitude': 53.477046173683, 'longitude': -2.254776017697, 'street': 'Liverpool Road', 'zip': 'M3 4FP'}",114806971906085
8595,TRUE,355,6277,4.5,91,8595,"Museum of the History of Science, Oxford",History Museum,"{'city': 'Oxford', 'country': 'United Kingdom', 'latitude': 51.754471126045, 'longitude': -1.2553918577788, 'street': 'Broad Street', 'zip': 'OX1 3AZ'}",35192961791
679,TRUE,48,932,4.8,16,679,Museum of the Jewellery Quarter,History Museum,"{'city': 'Birmingham', 'country': 'United Kingdom', 'latitude': 52.4905683, 'longitude': -1.9121029, 'street': '75-80 Vyse Street, Hockley', 'zip': 'B18 6HA'}",412512452119821
2623,TRUE,73,3041,4.8,77,2623,Museum of the Order of St John,Charity Organization,"{'city': 'London', 'country': 'United Kingdom', 'latitude': 51.522234491051, 'longitude': -0.10289236808237, 'street': ""Museum of the Order of St John, St John's Gate, St John's Lane, Clerkenwell"", 'zip': 'EC1M 4DA'}",691162234237432
4602,TRUE,290,2777,4.7,21,4602,"Museum of Transport, Greater Manchester",Transportation Service,"{'city': 'Manchester', 'country': 'United Kingdom', 'latitude': 53.502, 'longitude': -2.23415, 'street': 'Boyle Street, Cheetham', 'zip': 'M8 8UW'}",283233901725524
0,TRUE,0,7152,0,270,0,Museums Sheffield,Museum/Art Gallery,"{'street': 'Millennium Gallery', 'zip': 'S1 2PP'}",114472270491
0,TRUE,0,7152,0,270,0,Museums Sheffield,Museum/Art Gallery,"{'street': 'Millennium Gallery', 'zip': 'S1 2PP'}",114472270491
93126,TRUE,2213,14205,4.4,707,93126,National Football Museum,Museum,"{'city': 'Manchester', 'country': 'United Kingdom', 'latitude': 53.485804640777, 'longitude': -2.2423651042098, 'street': 'Urbis, Cathedral Gardens', 'zip': 'M4 3BG'}",167362639091
495670,TRUE,30609,867718,4.7,18115,495670,National Gallery,Art Gallery,"{'city': 'London', 'country': 'United Kingdom', 'latitude': 51.508619442815, 'longitude': -0.12815067646194, 'street': 'Trafalgar Square', 'zip': 'WC2N 5DN'}",83395535556
9063,TRUE,337,7811,4.4,380,9063,National Maritime Museum Cornwall,History Museum,"{'city': 'Falmouth', 'country': 'United Kingdom', 'latitude': 50.15079, 'longitude': -5.0629, 'street': 'Discovery Quay', 'zip': 'TR113QY'}",110391802336899
54659,TRUE,2071,29694,4.4,664,54659,National Science and Media Museum,Local Service,"{'city': 'Bradford', 'country': 'United Kingdom', 'latitude': 53.790737844646, 'longitude': -1.7558410649957, 'zip': 'BD1 1NQ'}",15378965550
136053,TRUE,3230,204783,4.6,5442,136053,National Portrait Gallery,Art Gallery,"{'city': 'London', 'country': 'United Kingdom', 'latitude': 51.509435219375, 'longitude': -0.1279778944838, 'street': 'St Martin’s Place', 'zip': 'WC2H 0'}",213441154663
217827,TRUE,10234,111584,4.6,1591,217827,National Railway Museum,History Museum,"{'city': 'York', 'country': 'United Kingdom', 'latitude': 53.959640518685, 'longitude': -1.0965665358856, 'street': 'Leeman Rd', 'zip': 'YO26 4XJ'}",7774637229
120282,TRUE,3036,31619,4.4,746,120282,National Space Centre,Landmark & Historical Place,"{'city': 'Leicester', 'country': 'United Kingdom', 'latitude': 52.65391599077, 'longitude': -1.1319942407852, 'street': 'Exploration Drive', 'zip': 'LE4 5NS'}",54757196002
1423663,TRUE,48593,450542,4.7,11782,1423663,"Natural History Museum, London",History Museum,"{'city': 'London', 'country': 'United Kingdom', 'latitude': 51.496026579616, 'longitude': -0.1763391494751, 'street': 'Cromwell Road', 'zip': 'SW7 5BD'}",198081311536
3015,TRUE,166,4448,4.3,28,3015,The New Art Gallery Walsall,Art Gallery,"{'city': 'Walsall', 'country': 'United Kingdom', 'latitude': 52.585738124406, 'longitude': -1.9861083155793, 'street': 'Gallery Square', 'zip': 'WS2 8LG'}",188206635511
3079,TRUE,64,757,4.7,18,3079,"New Forest Centre, Lyndhurst",History Museum,"{'city': 'Lyndhurst', 'country': 'United Kingdom', 'latitude': 50.871912479399, 'longitude': -1.5749408808051, 'street': 'Main Car Park', 'zip': 'SO43 7NY'}",252492658184985
0,TRUE,0,1694,0,0,14366,New Walk Museum,Civilization Museum,"{'city': 'Leicester', 'country': 'United Kingdom', 'latitude': 52.6292, 'longitude': -1.1278, 'street': '53 New Walk', 'zip': 'LE1 7'}",135748576456785
5,TRUE,0,636,0,0,5,Newark Air Museum,History Museum,"{'city': 'Newark', 'country': 'United Kingdom', 'latitude': 53.10219, 'longitude': -0.78643, 'street': 'The Showground', 'zip': 'NG24 2NY'}",391917087598327
1876,TRUE,17,238,4.4,0,1876,Newarke Houses Museum,Landmark & Historical Place,"{'city': 'Leicester', 'country': 'United Kingdom', 'latitude': 52.6316, 'longitude': -1.13919, 'zip': 'LE1 5'}",184893404898507
29234,TRUE,534,2100,4.5,0,29234,Newstead Abbey,Park,"{'city': 'Nottingham', 'country': 'United Kingdom', 'latitude': 53.0784, 'longitude': -1.19294}",142480525763875
788,TRUE,74,1527,4.9,29,788,Norfolk and Suffolk Aviation Museum,Nonprofit Organization,"{'city': 'Bungay', 'country': 'United Kingdom', 'latitude': 52.433304179118, 'longitude': 1.3978922367096, 'street': 'The Street', 'zip': 'NR35 1NZ'}",262982640548694
60,TRUE,0,462,0,17,60,North Ings Farm Museum & Railway,History Museum,"{'city': 'Sleaford', 'country': 'United Kingdom', 'latitude': 53.065383147376, 'longitude': -0.37044525146484, 'street': 'Fen Road, Dorrington', 'zip': 'LN4 3QB'}",466861413395472
221,TRUE,37,1941,4.4,44,221,North Lincolnshire Museum,History Museum,"{'city': 'Scunthorpe', 'country': 'United Kingdom', 'latitude': 53.587154575442, 'longitude': -0.65433707763189, 'street': 'North Lincolnshire Museum, Oswald Road, Scunthorpe', 'zip': 'DN15 7BD'}",181515523084
26153,TRUE,653,7302,4.3,330,26153,Norwich Castle Museum & Art Gallery,History Museum,"{'city': 'Norwich', 'country': 'United Kingdom', 'latitude': 52.62831574091, 'longitude': 1.296187128407, 'street': 'Castle Meadow', 'zip': 'NR1 3JU'}",148479621858361
29468,TRUE,357,6833,4.1,636,29468,Nottingham Castle,Art Gallery,"{'city': 'Nottingham', 'country': 'United Kingdom', 'latitude': 52.9507103, 'longitude': -1.15334, 'street': 'Lenton Rd', 'zip': 'NG1 6EL'}",534646723228318
888,TRUE,31,499,4.9,9,888,Guildhall Museum Rochester,History Museum,"{'city': 'Rochester', 'country': 'United Kingdom', 'latitude': 51.3908773, 'longitude': 0.5029138, 'street': '17 High Street', 'zip': 'ME1 1PY'}",617577291692106
711,TRUE,41,630,5,33,711,Oriental Museum Durham University,History Museum,"{'city': 'Durham', 'country': 'United Kingdom', 'latitude': 54.76467, 'longitude': -1.58063, 'street': 'Oriental Museum, Elvet Hill Road', 'zip': 'DH13TH'}",600411023446387
0,TRUE,0,92,0,4,0,Owston Ferry Smithy & Heritage Centre,Community,"{'city': 'Owston Ferry', 'country': 'United Kingdom', 'street': 'High Street', 'zip': 'DN9 1RE'}",304074069775426
12,TRUE,0,1,0,0,12,Oxford Bus Museum Trust,Museum,"{'city': 'Witney', 'country': 'United Kingdom', 'latitude': 51.824626594914, 'longitude': -1.3906278755759, 'zip': 'OX29 8'}",851138521582462
13873,TRUE,325,3216,4.9,264,13873,Oxford University Museum of Natural History,College & University,"{'city': 'Oxford', 'country': 'United Kingdom', 'latitude': 51.75744, 'longitude': -1.25615, 'street': 'Parks Road', 'zip': 'OX1 3PW'}",397829380373265
28,TRUE,2,611,5,23,28,Padstow Museum,Museum,"{'city': 'Padstow', 'country': 'United Kingdom', 'latitude': 50.5413017, 'longitude': -4.93893, 'street': 'FREE ENTRY The Mens Institute,  Market Place', 'zip': 'PL28 8AL'}",531115703569599
1230,TRUE,105,2995,4.7,402,1230,Penlee House Gallery & Museum,Art Gallery,"{'city': 'Penzance', 'country': 'United Kingdom', 'latitude': 50.116456449687, 'longitude': -5.5402238294752, 'street': 'Morrab Road', 'zip': 'TR18 4HE'}",26540452768
13,TRUE,0,23,0,0,13,Penryn Museum,History Museum,"{'city': 'Penryn', 'country': 'United Kingdom', 'latitude': 50.1695561, 'longitude': -5.1015166}",132323426917595
14074,TRUE,398,9925,4.6,122,14074,People's History Museum,Public Service,"{'city': 'Manchester', 'country': 'United Kingdom', 'latitude': 53.481429641988, 'longitude': -2.2528861460421, 'street': 'Left Bank', 'zip': 'M3 3ER'}",285789211152
355,TRUE,16,265,4.4,1,355,"The Heritage Park, Pitstone Museum",Museum,"{'city': 'Pitstone', 'country': 'United Kingdom', 'latitude': 51.826519, 'longitude': -0.63371, 'street': 'Vicarage Road', 'zip': 'LU7 9EY'}",143729465699515
18913,TRUE,256,10961,4.9,309,18913,Pitt Rivers Museum,Art Museum,"{'city': 'Oxford', 'country': 'United Kingdom', 'latitude': 51.758638162358, 'longitude': -1.2557051319556, 'street': 'Parks Road', 'zip': 'OX1 3PW'}",274070199280543
211,TRUE,10,693,4.4,22,211,Pontefract Museum,Museum,"{'city': 'Pontefract', 'country': 'United Kingdom', 'latitude': 53.692161118333, 'longitude': -1.31165466, 'street': '5 Salter Row', 'zip': 'WF8 1BA'}",205363612826034
1317,TRUE,73,1151,4.5,52,1317,Poole Museum Service,Cafe,"{'city': 'Poole', 'country': 'United Kingdom', 'latitude': 50.712487063186, 'longitude': -1.9888618748647, 'street': '4 High Street', 'zip': 'BH15 1BW'}",146828735330609
3027,TRUE,46,174,4.7,0,3027,Port Sunlight Museum,Landmark & Historical Place,"{'city': 'Port Sunlight', 'country': 'United Kingdom', 'latitude': 53.3550547, 'longitude': -2.99842465}",128656653892865
282,TRUE,4,55,3,0,282,Dukinfield Junction,Sports Event,"{'city': 'Ashton-under-Lyne', 'country': 'United Kingdom', 'latitude': 53.4826, 'longitude': -2.0997, 'zip': 'OL7 0'}",113447145371369
5,TRUE,0,185,0,2,5,Potters Bar Museum,History Museum,"{'city': 'Potters Bar', 'country': 'United Kingdom', 'latitude': 51.6959114, 'longitude': -0.19286, 'street': 'Wyllyotts Centre, Darkes Lane,', 'zip': 'EN6 2HN'}",152855514809811
25694,TRUE,389,11479,4.7,609,25694,Preston Park Museum and Grounds,Park,"{'city': 'Stockton-on-Tees', 'country': 'United Kingdom', 'latitude': 54.535606875951, 'longitude': -1.341517350229, 'street': 'Preston Park, Yarm Rd', 'zip': 'TS18 3RJ'}",518124728247551
161,TRUE,14,702,4.9,84,161,Quaker Tapestry,History Museum,"{'city': 'Kendal', 'country': 'United Kingdom', 'latitude': 54.328726860325, 'longitude': -2.7432636193384, 'street': 'Friends Meeting House, Stramongate', 'zip': 'LA9 4BH'}",224929027566144
32,TRUE,12,761,5,138,32,Somerset Coalfield Life at Radstock Museum,History Museum,"{'city': 'Radstock', 'country': 'United Kingdom', 'latitude': 51.2929271, 'longitude': -2.447656335, 'street': 'The Market Hall Waterloo Rd', 'zip': 'BA3 3EP'}",1644873152422330
