were_here_count,can_checkin,rating_count,fan_count,overall_star_rating,talking_about_count,checkins,name,category,location,id
50175,TRUE,1615,24254,4.4,428,50175,Birmingham Museum and Art Gallery (UK),Art Museum,"{'city': 'Birmingham', 'country': 'United Kingdom', 'latitude': 52.480114326665, 'longitude': -1.9036388397217, 'street': 'Chamberlain Square', 'zip': 'B3 3DH'}",34806457974
145684,TRUE,4512,106766,4.7,2623,145684,The Black Country Living Museum,History Museum,"{'city': 'Dudley', 'country': 'United Kingdom', 'latitude': 52.521480270525, 'longitude': -2.0759925822415, 'street': 'Tipton Road', 'zip': 'DY1 4SQ'}",138431884910
93,TRUE,20,385,3.9,0,93,Bridgwater Blake Museum,Tour Agency,"{'city': 'Bridgwater', 'country': 'United Kingdom', 'latitude': 51.1270128, 'longitude': -3.0019508, 'street': '5 Blake Street', 'zip': 'TA6 3NB'}",283114855064574
73,TRUE,4,158,5,4,73,Bodmin Town Museum,History Museum,"{'city': 'Bodmin', 'country': 'United Kingdom', 'latitude': 50.470491148649, 'longitude': -4.7189369206899, 'street': 'Mount Folly', 'zip': 'PL31 2HQ'}",616529605128991
2376,TRUE,92,3877,4.5,66,2376,Bolton Library and Museum Services,Library,"{'city': 'Bolton', 'country': 'United Kingdom', 'latitude': 53.577376881088, 'longitude': -2.4313207033346, 'street': 'Bolton Library and Museum Services, Le Mans Crescent,', 'zip': 'BL1 1SE'}",134732493220366
529,TRUE,20,134,4.5,0,529,Bolton Steam Museum,Landmark & Historical Place,"{'city': 'Bolton', 'country': 'United Kingdom', 'latitude': 53.5849, 'longitude': -2.4546}",116029598444982
558,TRUE,13,1897,4.8,89,558,Brampton Museum,Art Gallery,"{'city': 'Newcastle under Lyme', 'country': 'United Kingdom', 'latitude': 53.016190317808, 'longitude': -2.2208476066589, 'street': 'Brampton Park', 'zip': 'ST5 0QP'}",187300467978224
12576,TRUE,365,7677,4.6,342,12576,"Bosworth Battlefield Heritage Centre & Country Park, Leicestershire, UK",Landmark & Historical Place,"{'city': 'Nuneaton', 'country': 'United Kingdom', 'latitude': 52.596946397137, 'longitude': -1.4059533348356, 'street': 'Sutton Cheney', 'zip': 'CV13 0AD'}",63599506041
21,TRUE,0,17,0,0,21,Bourne Hall Museum,Museum,"{'city': 'Epsom', 'country': 'United Kingdom', 'latitude': 51.350480080103, 'longitude': -0.25174405530671, 'zip': 'KT17 1'}",362713537157631
6101,TRUE,114,1142,4.4,0,6101,Brighton Museum & Art Gallery,Art Museum,"{'city': 'Brighton', 'country': 'United Kingdom', 'latitude': 50.822, 'longitude': -0.138, 'zip': 'BN1 1EE'}",138495866178995
126084,TRUE,9376,300803,4.6,9003,126084,The British Library,Library,"{'city': 'London', 'country': 'United Kingdom', 'latitude': 51.52943964982, 'longitude': -0.12742229139956, 'street': '96 Euston Road', 'zip': 'NW1 2DB'}",8579062138
1070171,TRUE,53151,1380943,4.6,46981,1070171,British Museum,History Museum,"{'city': 'London', 'country': 'United Kingdom', 'latitude': 51.51788, 'longitude': -0.12723, 'zip': 'WC1B 3DG'}",72228529722
57544,TRUE,1472,16811,4.7,904,57544,Brooklands Museum,History Museum,"{'city': 'Weybridge', 'country': 'United Kingdom', 'latitude': 51.354468420455, 'longitude': -0.46449086574024, 'street': 'Brooklands Road', 'zip': 'KT13 0QN'}",120949592754
3056,TRUE,56,709,4.4,0,3056,Brunel Museum,Monument,"{'city': 'London', 'country': 'United Kingdom', 'latitude': 51.5016, 'longitude': -0.053, 'zip': 'SE16 4LF'}",134773466553435
782,TRUE,17,345,4.8,9,782,Buckingham Old Gaol Museum,Museum,"{'city': 'Buckingham', 'country': 'United Kingdom', 'latitude': 52.000930714085, 'longitude': -0.98640080793457, 'street': 'Market Hill', 'zip': 'MK18 1JX'}",177724528974591
1698,TRUE,64,1827,4.3,25,1698,Bury Art Museum,Museum,"{'city': 'Bury', 'country': 'United Kingdom', 'latitude': 53.591830283403, 'longitude': -2.2985852424524, 'street': 'Moss St', 'zip': 'BL9 0DR'}",259886002004
6,TRUE,0,1,0,0,6,Calverton Folk Museum,Museum,"{'city': 'Nottingham', 'country': 'United Kingdom', 'latitude': 53.03558, 'longitude': -1.055612, 'street': 'Main St', 'zip': 'NG14 6FG'}",1783749235187440
10364,TRUE,122,3936,4.6,146,10364,"Cannon Hall Museum, Park and Gardens",Park,"{'city': 'Cawthorne', 'country': 'United Kingdom', 'latitude': 53.567422236838, 'longitude': -1.5906048910294, 'street': 'Barkhouse Lane', 'zip': 'S75 4AT'}",109559515745696
0,TRUE,22,1030,4.2,6,102,Canterbury Museums & Galleries,Art Museum,"{'city': 'Canterbury', 'country': 'United Kingdom', 'latitude': 51.278755690847, 'longitude': 1.0776483123479, 'zip': 'CT1 2NR'}",132006863706
